name,author,review_count,paper_price
 Книга Людина в пошуках справжнього сенсу. Психолог у концтаборі,Вiктор Франкл,56,130
 Книга Гармидер у школі,Джеремі Стронг,32,143
 Книга Шлях до фінансової свободи,Бодо Шефер,12,314
 Книга Дофамінове покоління. Де межа між болем і задоволенням,Анна Лембке,2,269
 Книга Білий попіл,Ілларіон Павлюк,49,245
 Книга Емоційний інтелект,Денiел Ґоулман,35,340
" Електронна книга Матера вам не наймичка, або Чому діти це — прекрасно...",Катя Бльостка,5,125
 Книга Малюк Коргі вчиться рахувати / Little Corgi Learns to count,Наталія Стукман,8,100
 Книга 7 звичок надзвичайно ефективних людей,Стівен Кові,28,265
 Книга Думай і багатій,Наполеон Гілл,18,230
" Книга Пес на ім'я Мані, або Абетка грошей",Бодо Шефер,64,216
 Книга Тренажер для виправлення почерку. Правильний нахил,Л. Кієнко,,42
 Книга Історія України від Діда Свирида. Книга 1,Дід Свирид,27,355
 Електронна книга 1984,Джордж Орвелл,3,21
 Електронна книга Кінчай! Твоє право на задоволення,Лорі Мінц,1,250
 Книга Психологiя впливу,Роберт Чалдіні,,350
 Книга Велика енциклопедія для чомусика,,,370
 Книга Джури. Книга 1. Джури козака Швайки,Володимир Рутківський,22,240
 Книга Повернення до кафе на краю світу,Джон П. Стрелекі,6,180
" Книга Жінки, що біжать з вовками. Архетип Дикої жінки у міфах та легендах",Клариса Пінкола Естес,20,420
 Книга Джуді Муді. Книжка 1,Меґан МакДоналд,18,137
 Книга Тренажер для виправлення почерку. Широка лінійка,Людмила Кієнко,,42
 Книга Підсвідомості все підвладне,Джон Кехо,19,175
 Книга Короткий курс історії України,Олександр Палій,7,350
" Книга Жінки, які кохають до нестями",Робін Норвуд,17,250
" Книга Ігри, у які грають люди",Ерік Берн,30,265
 Книга Місто дівчат,Елізабет Ґілберт,90,343
 Книга 1984,Джордж Орвелл,77,200
 Книга Мистецтво війни,Сунь-цзи,15,176
 Книга Чарлі і шоколадна фабрика,Роальд Дал,125,260
 Книга Країна неслухняних дітей,Валентина Кохан,5,152
 Книга Правила Дорожнього Руху України 2023 р. Ілюстрований навчальний посібник,,,238
 Книга Вибір. Прийняти можливе,Едіт Єва Еґер,30,390
 Книга Дисципліна – це свобода,Джоко Віллінк,,400
 Електронна книга Спитайте Мієчку,Євгенія Кузнєцова,22,100
 Книга Брама Європи. Історія України від скіфських воєн до незалежності,Сергій Плохій,27,350
 Книга Нові Темні Віки. Книга 1. Колонія,Макс Кідрук,6,459
 Книга Бог завжди подорожує інкогніто,Лоран Гунель,109,190
 Книга Квартира на двох,Бет О'лірі,53,240
 Книга Мистецтво говорити. Таємниці ефективного спілкування,Джеймс Борг,28,256
 Книга 48 законів влади,Роберт Грін,2,350
 Книга Фактор Черчилля. Як одна людина змінила історію,Боріс Джонсон,20,340
 Книга Дорослі діти емоційно незрілих батьків,Ліндсі К. Гібсон,7,320
" Електронна книга Я бачу, Вас цікавить пітьма",Ілларіон Павлюк,22,200
 Книга Малечі про інтимні речі,Юлія Ярмоленко,35,251
" Книга Я бачу, вас цікавить пітьма",Ілларіон Павлюк,42,490
 Книга Правила Дорожнього Руху України 2023 з коментарями та ілюстраціями,,,248
" Книга Купи собі той довбаний букет: та інші способи зібратися докупи від тієї, котрій вдалось",Тара Шустер,80,304
 Книга Триста поезій,Ліна Костенко,58,350
 Книга Тореадори з Васюківки,Всеволод Нестайко,112,250
